Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
Republic of Korea ,1766,505,13,1
Japan ,186,22,3,2
Singapore ,93,2,0,0
Australia ,23,0,0,0
Malaysia ,22,0,0,0
Viet Nam ,16,0,0,0
Philippines ,3,0,1,0
Cambodia ,1,0,0,0
Thailand ,40,0,0,0
India ,3,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
United States of America ,59,6,0,0
Canada ,11,1,0,0
Brazil ,1,1,0,0
Italy ,400,78,12,1
Germany ,21,3,0,0
France ,18,6,2,1
The United Kingdom ,13,0,0,0
Spain ,12,10,0,0
Croatia ,3,1,0,0
Austria ,2,0,0,0
Finland ,2,1,0,0
Israel ,2,0,0,0
Russian Federation ,2,0,0,0
Sweden ,2,1,0,0
Belgium ,1,0,0,0
Denmark ,1,1,0,0
Estonia ,1,1,0,0
Georgia ,1,1,0,0
Greece ,1,1,0,0
North Macedonia ,1,1,0,0
Norway ,1,1,0,0
Romania ,1,1,0,0
Switzerland ,1,0,0,0
Iran (Islamic Republic of) ,141,46,22,7
Kuwait ,43,31,0,0
Bahrain ,33,7,0,0
United Arab Emirates ,13,0,0,0
Iraq ,6,1,0,0
Oman ,4,0,0,0
Lebanon ,2,1,0,0
Pakistan ,2,2,0,0
Afghanistan ,1,0,0,0
Egypt ,1,0,0,0
Algeria ,1,0,0,0
International conveyance (Japan) ,705,14,4,1
